htv_child_order_dm.deviceid	htv_child_order_dm.child_light_not_order	htv_child_order_dm.child_middle_not_order	htv_child_order_dm.child_high_not_order	htv_child_order_dm.date_time
004903FF001847800001748F1B108D54	0	1	0	20210901
005801FF0001005005D300692D37E82F	1	0	0	20210901
005801FF0001005005D300692D37ECD4	1	0	0	20210901
005801FF0001005005D300692D37F7F5	1	0	0	20210901
005801FF0001005005D300692D37F8BF	0	1	0	20210901
005801FF0001005005D300692D37FFA0	1	0	0	20210901
005801FF0001005005D300692D38026E	1	0	0	20210901
005801FF0001005005D300692D380BA3	1	0	0	20210901
005801FF0001005005D300692D3812C3	1	0	0	20210901
005801FF0001005005D300692D381D4F	1	0	0	20210901
005801FF00010050F6E52C43BE5CBD2D	1	0	0	20210901
005801FF00010050F6E52C43BE5CCAA0	0	1	0	20210901
005801FF0001007001B960D21C44254C	0	1	0	20210901
005801FF0001007001B960D21C4425F3	1	0	0	20210901
005801FF0001007001B960D21C442650	0	0	1	20210901
005801FF0001007001B960D21C4426C4	1	0	0	20210901
005801FF0001007001B960D21C44273A	1	0	0	20210901
005801FF0001007001B960D21C44279D	0	0	1	20210901
005801FF0001007001B960D21C4427CE	0	1	0	20210901
005801FF0001007001B960D21C44294B	0	1	0	20210901
005801FF0001007001B960D21C442956	0	0	1	20210901
005801FF0001007001B960D21C442972	1	0	0	20210901
005801FF0001007001B960D21C442A1C	0	0	1	20210901
005801FF0001007001B960D21C442AA9	0	1	0	20210901
005801FF0001007001B960D21C442BD7	0	1	0	20210901
005801FF0001007001B960D21C442BDF	1	0	0	20210901
005801FF0001007001B960D21C442BE1	1	0	0	20210901
005801FF0001007001B960D21C442CCE	1	0	0	20210901
005801FF0001007001B960D21C442DB9	1	0	0	20210901
005801FF0001007001B960D21C442DE9	1	0	0	20210901
005801FF0001007001B960D21C442DEF	0	1	0	20210901
005801FF0001007001B960D21C442E35	0	0	1	20210901
005801FF0001007001B960D21C442E37	0	0	1	20210901
005801FF0001007001B960D21C442E64	1	0	0	20210901
005801FF0001007001B960D21C442E97	0	0	1	20210901
005801FF0001007001B960D21C442F0F	0	1	0	20210901
005801FF0001007001B960D21C442F2A	0	1	0	20210901
005801FF0001007001B960D21C442F5C	1	0	0	20210901
005801FF0001007001B960D21C44300E	1	0	0	20210901
005801FF0001007001B960D21C44300F	0	0	1	20210901
