htv_channel_dm.deviceid	htv_channel_dm.channelname	htv_channel_dm.play_duration	htv_channel_dm.date_time
003403FF001834600005A8BD3A5DA23D	CCTV8	68.0	20210901
003801FF0001007006BB60D21C69BE12	CCTV4	3.0	20210901
003801FF0001007006BB60D21C69BE12	广东卫	NULL	20210901
视	2.0	NULL	20210901
003801FF0001007006BB60D21C69BE12	深圳卫	NULL	20210901
视	2.0	NULL	20210901
004604FF0004302008C360D21CAF0921	CCTV15	209.0	20210901
004604FF0004302008C360D21CAF0921	吉林卫	NULL	20210901
视	1.0	NULL	20210901
004604FF0004302008C360D21CAF0921	广东卫	NULL	20210901
视	5.0	NULL	20210901
004903FF000248800003748F1BA902E4	东南卫	NULL	20210901
视	33.0	NULL	20210901
004903FF000248800003748F1BA902E4	山西卫	NULL	20210901
视	35.0	NULL	20210901
004903FF000248800003748F1BA902E4	河北卫	NULL	20210901
视	33.0	NULL	20210901
004903FF000248800003748F1BA902E4	辽宁卫	NULL	20210901
视	35.0	NULL	20210901
004903FF001847800001748F1B108D54	CCTV7	2.0	20210901
00500300000351800038748F1BDA58C6	CCTV1	26.0	20210901
00500300000355500057748F1B0C6B90	CCTV1	6625.0	20210901
00500300000355500057748F1B0C6B90	CCTV14	4.0	20210901
00500300000355500057748F1B0C6B90	CCTV6	3.0	20210901
00500300000355500057748F1B0C6B90	其他直播频道	25.0	20210901
00500300000355500057748F1B0C6B90	江苏卫	NULL	20210901
视	12.0	NULL	20210901
00500300000355500058748F1B8897C4	CCTV5	2.0	20210901
00500300000355500058748F1B8897C4	CCTV8	2.0	20210901
005801FF0001005005D300692D37D26F	北京卫	NULL	20210901
视	2.0	NULL	20210901
005801FF0001005005D300692D37D270	CCTV1	6.0	20210901
005801FF0001005005D300692D37D270	CCTV10	1.0	20210901
005801FF0001005005D300692D37D270	CCTV5	2.0	20210901
005801FF0001005005D300692D37D270	CCTV7	1.0	20210901
005801FF0001005005D300692D37D270	云南卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D270	天津卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D270	宁夏卫	NULL	20210901
视	6.0	NULL	20210901
005801FF0001005005D300692D37D270	安徽卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D270	广西卫	NULL	20210901
视	3.0	NULL	20210901
005801FF0001005005D300692D37D270	辽宁卫	NULL	20210901
视	10.0	NULL	20210901
005801FF0001005005D300692D37D275	CCTV11	825.0	20210901
005801FF0001005005D300692D37D275	CCTV15	4.0	20210901
005801FF0001005005D300692D37D275	CCTV17	21.0	20210901
005801FF0001005005D300692D37D275	CCTV3	6.0	20210901
005801FF0001005005D300692D37D275	其他直播频道	5677.0	20210901
005801FF0001005005D300692D37D275	山东卫	NULL	20210901
视	5.0	NULL	20210901
005801FF0001005005D300692D37D275	河北卫	NULL	20210901
视	19.0	NULL	20210901
005801FF0001005005D300692D37D275	湖南卫	NULL	20210901
视	17.0	NULL	20210901
005801FF0001005005D300692D37D281	CCTV1	3608.0	20210901
005801FF0001005005D300692D37D287	CCTV13	73.0	20210901
005801FF0001005005D300692D37D289	CCTV10	1.0	20210901
005801FF0001005005D300692D37D289	CCTV17	15.0	20210901
005801FF0001005005D300692D37D289	CCTV6	3612.0	20210901
005801FF0001005005D300692D37D289	浙江卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D28D	江西卫	NULL	20210901
视	6.0	NULL	20210901
005801FF0001005005D300692D37D297	CCTV5	2.0	20210901
005801FF0001005005D300692D37D2AE	CCTV1	325.0	20210901
005801FF0001005005D300692D37D2AE	CCTV10	210.0	20210901
005801FF0001005005D300692D37D2AE	CCTV14	3.0	20210901
005801FF0001005005D300692D37D2AE	安徽卫	NULL	20210901
视	3.0	NULL	20210901
005801FF0001005005D300692D37D2AE	山东卫	NULL	20210901
视	4.0	NULL	20210901
005801FF0001005005D300692D37D2AE	广东卫	NULL	20210901
视	5.0	NULL	20210901
005801FF0001005005D300692D37D2AE	江西卫	NULL	20210901
视	3.0	NULL	20210901
005801FF0001005005D300692D37D2AE	重庆卫	NULL	20210901
视	2.0	NULL	20210901
005801FF0001005005D300692D37D2BE	CCTV2	677.0	20210901
005801FF0001005005D300692D37D2BE	CCTV9	6.0	20210901
005801FF0001005005D300692D37D2BE	安徽卫	NULL	20210901
视	44.0	NULL	20210901
005801FF0001005005D300692D37D2C1	CCTV2	1.0	20210901
005801FF0001005005D300692D37D2C1	CCTV4	0.0	20210901
005801FF0001005005D300692D37D2C1	CCTV7	780.0	20210901
005801FF0001005005D300692D37D2C4	CCTV3	1.0	20210901
005801FF0001005005D300692D37D2C4	内蒙古卫视	1.0	20210901
005801FF0001005005D300692D37D2C4	宁夏卫	NULL	20210901
视	3.0	NULL	20210901
005801FF0001005005D300692D37D2C4	山东卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D2E8	CCTV2	1.0	20210901
005801FF0001005005D300692D37D2EE	CCTV1	7216.0	20210901
005801FF0001005005D300692D37D2EF	CCTV15	8.0	20210901
005801FF0001005005D300692D37D2EF	CCTV8	11.0	20210901
005801FF0001005005D300692D37D2EF	云南卫	NULL	20210901
视	4.0	NULL	20210901
005801FF0001005005D300692D37D2EF	吉林卫	NULL	20210901
视	5.0	NULL	20210901
005801FF0001005005D300692D37D2EF	河南卫	NULL	20210901
视	4.0	NULL	20210901
005801FF0001005005D300692D37D2EF	贵州卫	NULL	20210901
视	48.0	NULL	20210901
005801FF0001005005D300692D37D2F4	CCTV5	2.0	20210901
005801FF0001005005D300692D37D2F4	CCTV7	9.0	20210901
005801FF0001005005D300692D37D2F4	山西卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D2F4	深圳卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D2F4	湖北卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D2F4	贵州卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D300	其他直播频道	973.0	20210901
005801FF0001005005D300692D37D304	CCTV11	0.0	20210901
005801FF0001005005D300692D37D304	CCTV3	0.0	20210901
005801FF0001005005D300692D37D310	CCTV4	2.0	20210901
005801FF0001005005D300692D37D310	CCTV6	10.0	20210901
005801FF0001005005D300692D37D310	湖南卫	NULL	20210901
视	112.0	NULL	20210901
005801FF0001005005D300692D37D315	CCTV10	2.0	20210901
005801FF0001005005D300692D37D315	CCTV15	1.0	20210901
005801FF0001005005D300692D37D315	CCTV4	32.0	20210901
005801FF0001005005D300692D37D315	CCTV7	0.0	20210901
005801FF0001005005D300692D37D315	CCTV9	2.0	20210901
005801FF0001005005D300692D37D315	北京卫	NULL	20210901
视	21.0	NULL	20210901
005801FF0001005005D300692D37D315	安徽卫	NULL	20210901
视	39.0	NULL	20210901
005801FF0001005005D300692D37D315	河北卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D315	河南卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D319	CCTV14	3.0	20210901
005801FF0001005005D300692D37D319	其他直播频道	3609.0	20210901
005801FF0001005005D300692D37D31A	CCTV1	3609.0	20210901
005801FF0001005005D300692D37D324	CCTV12	0.0	20210901
005801FF0001005005D300692D37D324	CCTV14	0.0	20210901
005801FF0001005005D300692D37D324	CCTV17	2.0	20210901
005801FF0001005005D300692D37D324	其他直播频道	3215.0	20210901
005801FF0001005005D300692D37D324	江苏卫	NULL	20210901
视	3609.0	NULL	20210901
005801FF0001005005D300692D37D324	湖南卫	NULL	20210901
视	4.0	NULL	20210901
005801FF0001005005D300692D37D32E	CCTV9	11.0	20210901
005801FF0001005005D300692D37D331	CCTV2	470.0	20210901
005801FF0001005005D300692D37D331	CCTV5	0.0	20210901
005801FF0001005005D300692D37D331	东南卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D331	湖北卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D33D	CCTV9	9.0	20210901
005801FF0001005005D300692D37D33D	北京卫	NULL	20210901
视	35.0	NULL	20210901
005801FF0001005005D300692D37D33D	吉林卫	NULL	20210901
视	11.0	NULL	20210901
005801FF0001005005D300692D37D344	CCTV12	9.0	20210901
005801FF0001005005D300692D37D344	CCTV4	3725.0	20210901
005801FF0001005005D300692D37D344	CCTV9	414.0	20210901
005801FF0001005005D300692D37D344	其他直播频道	18818.0	20210901
005801FF0001005005D300692D37D344	浙江卫	NULL	20210901
视	2576.0	NULL	20210901
005801FF0001005005D300692D37D349	CCTV1	0.0	20210901
005801FF0001005005D300692D37D349	CCTV12	0.0	20210901
005801FF0001005005D300692D37D349	CCTV8	0.0	20210901
005801FF0001005005D300692D37D358	CCTV1	3611.0	20210901
005801FF0001005005D300692D37D362	CCTV4	0.0	20210901
005801FF0001005005D300692D37D362	CCTV5	0.0	20210901
005801FF0001005005D300692D37D362	其他直播频道	17.0	20210901
