htv_user_feature_dm.deviceid	htv_user_feature_dm.top1_content	htv_user_feature_dm.top2_content	htv_user_feature_dm.top3_content	htv_user_feature_dm.top1_epg	htv_user_feature_dm.top2_epg	htv_user_feature_dm.top3_epg	htv_user_feature_dm.top4_epg	htv_user_feature_dm.top5_epg	htv_user_feature_dm.hourtype	htv_user_feature_dm.date_time
004903000003204019297C52593C36AE	电影			NULL	NULL	NULL	NULL	NULL	1	20210901
004903FF001847800001748F1B108D54	少儿			NULL	NULL	NULL	NULL	NULL	1	20210901
005101FF00011810111160D21CA9B1E5	电视剧	纪实	电影	探索发现					1	20210901
005801FF0001005005D300692D37D26F	电影	动漫	综艺	真人秀	全部	最新上线	热血	大片限免	1	20210901
005801FF0001005005D300692D37D294	电视剧			军旅抗战					1	20210901
005801FF0001005005D300692D37D2AA	电视剧	动漫		青春偶像	古装奇幻	内地	同步跟播		1	20210901
005801FF0001005005D300692D37D2AF	动漫			NULL	NULL	NULL	NULL	NULL	1	20210901
005801FF0001005005D300692D37D2EE	动漫			全部					1	20210901
005801FF0001005005D300692D37D300	电影	动漫		免费专区	电影排行				1	20210901
005801FF0001005005D300692D37D349	动漫			NULL	NULL	NULL	NULL	NULL	1	20210901
005801FF0001005005D300692D37D356	动漫			NULL	NULL	NULL	NULL	NULL	1	20210901
005801FF0001005005D300692D37D362	电视剧	综艺	电影	喜剧	悬疑罪案	古装奇幻	侦探解密	漫威系列	1	20210901
005801FF0001005005D300692D37D363	动漫			NULL	NULL	NULL	NULL	NULL	1	20210901
005801FF0001005005D300692D37D36E	电视剧			都市爱情					1	20210901
005801FF0001005005D300692D37D376	电视剧			NULL	NULL	NULL	NULL	NULL	1	20210901
005801FF0001005005D300692D37D39F	电影			动画					1	20210901
005801FF0001005005D300692D37D3B0	电视剧	动漫		青春偶像					1	20210901
005801FF0001005005D300692D37D3D5	电视剧			推荐					1	20210901
005801FF0001005005D300692D37D437	电视剧			军旅抗战					1	20210901
005801FF0001005005D300692D37D444	电影			大片限免	动画				1	20210901
005801FF0001005005D300692D37D460	动漫			免费专区					1	20210901
005801FF0001005005D300692D37D465	电视剧			军旅抗战					1	20210901
005801FF0001005005D300692D37D4AD	动漫			免费专区					1	20210901
005801FF0001005005D300692D37D4B1	动漫			NULL	NULL	NULL	NULL	NULL	1	20210901
005801FF0001005005D300692D37D4BE	电视剧			青春偶像					1	20210901
005801FF0001005005D300692D37D4D7	新闻			影视限免					1	20210901
005801FF0001005005D300692D37D4DB	电视剧			推荐	同步跟播				1	20210901
005801FF0001005005D300692D37D4E3	电视剧			热剧限免					1	20210901
005801FF0001005005D300692D37D4EA	电影	电视剧		同步跟播	全部电影	大片限免			1	20210901
005801FF0001005005D300692D37D52C	电视剧			悬疑罪案					1	20210901
005801FF0001005005D300692D37D55D	动漫			NULL	NULL	NULL	NULL	NULL	1	20210901
005801FF0001005005D300692D37D580	电影	电视剧		青春偶像	惊悚				1	20210901
