htv_epg_prefer_dm.deviceid	htv_epg_prefer_dm.fivelevel	htv_epg_prefer_dm.hourtype	htv_epg_prefer_dm.ranks	htv_epg_prefer_dm.date_time
005101FF00011810111160D21CA9B1E5	探索发现	1	1	20210901
005801FF0001005005D300692D37D26F	真人秀	1	1	20210901
005801FF0001005005D300692D37D26F	全部	1	2	20210901
005801FF0001005005D300692D37D26F	最新上线	1	3	20210901
005801FF0001005005D300692D37D26F	热血	1	4	20210901
005801FF0001005005D300692D37D26F	大片限免	1	5	20210901
005801FF0001005005D300692D37D294	军旅抗战	1	1	20210901
005801FF0001005005D300692D37D2AA	青春偶像	1	1	20210901
005801FF0001005005D300692D37D2AA	古装奇幻	1	2	20210901
005801FF0001005005D300692D37D2AA	内地	1	3	20210901
005801FF0001005005D300692D37D2AA	同步跟播	1	4	20210901
005801FF0001005005D300692D37D2EE	全部	1	1	20210901
005801FF0001005005D300692D37D300	免费专区	1	1	20210901
005801FF0001005005D300692D37D300	电影排行	1	2	20210901
005801FF0001005005D300692D37D362	喜剧	1	1	20210901
005801FF0001005005D300692D37D362	悬疑罪案	1	2	20210901
005801FF0001005005D300692D37D362	古装奇幻	1	3	20210901
005801FF0001005005D300692D37D362	侦探解密	1	4	20210901
005801FF0001005005D300692D37D362	漫威系列	1	5	20210901
005801FF0001005005D300692D37D36E	都市爱情	1	1	20210901
005801FF0001005005D300692D37D39F	动画	1	1	20210901
005801FF0001005005D300692D37D3B0	青春偶像	1	1	20210901
005801FF0001005005D300692D37D3D5	推荐	1	1	20210901
005801FF0001005005D300692D37D437	军旅抗战	1	1	20210901
005801FF0001005005D300692D37D444	大片限免	1	1	20210901
005801FF0001005005D300692D37D444	动画	1	2	20210901
005801FF0001005005D300692D37D460	免费专区	1	1	20210901
005801FF0001005005D300692D37D465	军旅抗战	1	1	20210901
005801FF0001005005D300692D37D4AD	免费专区	1	1	20210901
005801FF0001005005D300692D37D4BE	青春偶像	1	1	20210901
005801FF0001005005D300692D37D4D7	影视限免	1	1	20210901
005801FF0001005005D300692D37D4DB	推荐	1	1	20210901
005801FF0001005005D300692D37D4DB	同步跟播	1	2	20210901
005801FF0001005005D300692D37D4E3	热剧限免	1	1	20210901
005801FF0001005005D300692D37D4EA	同步跟播	1	1	20210901
005801FF0001005005D300692D37D4EA	全部电影	1	2	20210901
005801FF0001005005D300692D37D4EA	大片限免	1	3	20210901
005801FF0001005005D300692D37D52C	悬疑罪案	1	1	20210901
005801FF0001005005D300692D37D580	青春偶像	1	1	20210901
005801FF0001005005D300692D37D580	惊悚	1	2	20210901
005801FF0001005005D300692D37D5E3	悬疑罪案	1	1	20210901
005801FF0001005005D300692D37D629	电视剧	1	1	20210901
005801FF0001005005D300692D37D643	电视剧	1	1	20210901
005801FF0001005005D300692D37D67D	全部电影	1	1	20210901
005801FF0001005005D300692D37D67E	爆笑	1	1	20210901
