htv_content_prefer_dm.deviceid	htv_content_prefer_dm.contenttype	htv_content_prefer_dm.hourtype	htv_content_prefer_dm.ranks	htv_content_prefer_dm.date_time
005801FF0001005005D300692D37D26F	电影	1	1	20210901
005801FF0001005005D300692D37D26F	动漫	1	2	20210901
005801FF0001005005D300692D37D26F	综艺	1	3	20210901
005801FF0001005005D300692D37D36E	电视剧	1	1	20210901
005801FF0001005005D300692D37D39F	电影	1	1	20210901
005801FF0001005005D300692D37D39F	电影	2	1	20210901
005801FF0001005005D300692D37D3B0	电视剧	1	1	20210901
005801FF0001005005D300692D37D3B0	动漫	1	2	20210901
005801FF0001005005D300692D37D3D5	电视剧	1	1	20210901
005801FF0001005005D300692D37D3D5	电视剧	3	1	20210901
005801FF0001005005D300692D37D437	电视剧	1	1	20210901
005801FF0001005005D300692D37D437	电视剧	4	1	20210901
005801FF0001005005D300692D37D4DB	电视剧	3	1	20210901
005801FF0001005005D300692D37D52C	电视剧	1	1	20210901
005801FF0001005005D300692D37D52C	电视剧	4	1	20210901
005801FF0001005005D300692D37D5E3	电视剧	1	1	20210901
005801FF0001005005D300692D37D629	电视剧	1	1	20210901
005801FF0001005005D300692D37D629	电视剧	4	1	20210901
005801FF0001005005D300692D37D6F3	电视剧	4	1	20210901
005801FF0001005005D300692D37D74F	动漫	4	1	20210901
005801FF0001005005D300692D37D7C5	电影	1	1	20210901
005801FF0001005005D300692D37D7D6	动漫	2	1	20210901
005801FF0001005005D300692D37D7D6	电视剧	3	1	20210901
005801FF0001005005D300692D37D7D6	电影	3	2	20210901
005801FF0001005005D300692D37D7D6	动漫	4	1	20210901
005801FF0001005005D300692D37D7E1	电视剧	1	1	20210901
005801FF0001005005D300692D37D843	动漫	1	1	20210901
005801FF0001005005D300692D37D843	动漫	2	1	20210901
005801FF0001005005D300692D37D883	动漫	1	1	20210901
005801FF0001005005D300692D37D883	动漫	2	1	20210901
005801FF0001005005D300692D37D962	电影	1	1	20210901
005801FF0001005005D300692D37D962	电影	4	1	20210901
005801FF0001005005D300692D37DACB	动漫	1	1	20210901
005801FF0001005005D300692D37DACB	电视剧	1	2	20210901
005801FF0001005005D300692D37DACB	动漫	3	1	20210901
005801FF0001005005D300692D37DB62	电影	1	1	20210901
005801FF0001005005D300692D37DB62	电影	4	1	20210901
005801FF0001005005D300692D37DBE8	电视剧	1	1	20210901
005801FF0001005005D300692D37DBE8	电视剧	4	1	20210901
005801FF0001005005D300692D37DC0B	电视剧	1	1	20210901
005801FF0001005005D300692D37DC0B	电视剧	4	1	20210901
