htv_user_personas_dm.deviceid	htv_user_personas_dm.hourtype	htv_user_personas_dm.rate	htv_user_personas_dm.grouptype	htv_user_personas_dm.date_time
004903000003204019297C52593C36AE	1	old	female	20210901
004903000003204019297C52593C36AE	2	old	female	20210901
004903FF001847800001748F1B108D54	1	child	male	20210901
004903FF001847800001748F1B108D54	3	child	female	20210901
005101FF00011810111160D21CA9B1E5	1	mid	male	20210901
005101FF00011810111160D21CA9B1E5	2	mid	male	20210901
005101FF00011810111160D21CA9B1E5	4	youth	female	20210901
005801FF0001005005D300692D37D26F	1	teen	female	20210901
005801FF0001005005D300692D37D26F	3	teen	female	20210901
005801FF0001005005D300692D37D26F	4	teen	male	20210901
005801FF0001005005D300692D37D294	1	youth	female	20210901
005801FF0001005005D300692D37D294	4	mid	male	20210901
005801FF0001005005D300692D37D2AA	1	teen	female	20210901
005801FF0001005005D300692D37D2AA	2	youth	male	20210901
005801FF0001005005D300692D37D2AA	3	mid	male	20210901
005801FF0001005005D300692D37D2AA	4	mid	female	20210901
005801FF0001005005D300692D37D2AF	1	teen	male	20210901
005801FF0001005005D300692D37D2EE	1	teen	male	20210901
005801FF0001005005D300692D37D2EE	3	teen	male	20210901
005801FF0001005005D300692D37D2EE	4	teen	female	20210901
005801FF0001005005D300692D37D300	1	teen	male	20210901
005801FF0001005005D300692D37D300	2	teen	male	20210901
005801FF0001005005D300692D37D300	3	teen	female	20210901
005801FF0001005005D300692D37D300	4	teen	female	20210901
005801FF0001005005D300692D37D349	1	teen	male	20210901
005801FF0001005005D300692D37D349	3	teen	female	20210901
005801FF0001005005D300692D37D356	1	teen	male	20210901
005801FF0001005005D300692D37D356	3	teen	male	20210901
005801FF0001005005D300692D37D356	4	teen	male	20210901
005801FF0001005005D300692D37D362	1	youth	female	20210901
005801FF0001005005D300692D37D362	2	mid	male	20210901
005801FF0001005005D300692D37D362	3	youth	female	20210901
005801FF0001005005D300692D37D363	1	teen	female	20210901
005801FF0001005005D300692D37D36E	1	mid	male	20210901
005801FF0001005005D300692D37D376	1	youth	female	20210901
005801FF0001005005D300692D37D39F	1	old	male	20210901
005801FF0001005005D300692D37D39F	2	teen	male	20210901
005801FF0001005005D300692D37D3B0	1	teen	female	20210901
005801FF0001005005D300692D37D3B0	3	youth	female	20210901
005801FF0001005005D300692D37D3D5	1	youth	female	20210901
005801FF0001005005D300692D37D3D5	3	youth	male	20210901
005801FF0001005005D300692D37D437	1	youth	male	20210901
005801FF0001005005D300692D37D437	4	youth	male	20210901
005801FF0001005005D300692D37D444	1	old	female	20210901
005801FF0001005005D300692D37D444	3	old	female	20210901
005801FF0001005005D300692D37D444	4	child	female	20210901
005801FF0001005005D300692D37D460	1	teen	male	20210901
005801FF0001005005D300692D37D460	4	teen	male	20210901
005801FF0001005005D300692D37D465	1	mid	female	20210901
005801FF0001005005D300692D37D465	3	youth	female	20210901
005801FF0001005005D300692D37D465	4	mid	female	20210901
005801FF0001005005D300692D37D4AD	1	teen	male	20210901
005801FF0001005005D300692D37D4AD	2	teen	male	20210901
005801FF0001005005D300692D37D4AD	3	teen	female	20210901
005801FF0001005005D300692D37D4AD	4	teen	female	20210901
005801FF0001005005D300692D37D4B1	1	teen	male	20210901
005801FF0001005005D300692D37D4B1	4	teen	male	20210901
005801FF0001005005D300692D37D4BE	1	youth	female	20210901
005801FF0001005005D300692D37D4BE	3	mid	male	20210901
005801FF0001005005D300692D37D4D7	1	mid	male	20210901
005801FF0001005005D300692D37D4D7	3	mid	male	20210901
005801FF0001005005D300692D37D4DB	1	youth	female	20210901
005801FF0001005005D300692D37D4DB	2	mid	male	20210901
005801FF0001005005D300692D37D4DB	3	youth	male	20210901
005801FF0001005005D300692D37D4E3	1	youth	male	20210901
005801FF0001005005D300692D37D4E3	4	youth	female	20210901
005801FF0001005005D300692D37D4EA	1	youth	female	20210901
005801FF0001005005D300692D37D4EA	3	youth	male	20210901
005801FF0001005005D300692D37D4EA	4	teen	male	20210901
005801FF0001005005D300692D37D52C	1	mid	male	20210901
005801FF0001005005D300692D37D52C	4	youth	female	20210901
005801FF0001005005D300692D37D55D	1	teen	female	20210901
005801FF0001005005D300692D37D55D	3	teen	female	20210901
005801FF0001005005D300692D37D580	1	youth	male	20210901
005801FF0001005005D300692D37D580	3	mid	male	20210901
005801FF0001005005D300692D37D580	4	mid	male	20210901
005801FF0001005005D300692D37D5E3	1	youth	male	20210901
005801FF0001005005D300692D37D629	1	youth	female	20210901
005801FF0001005005D300692D37D629	4	mid	female	20210901
005801FF0001005005D300692D37D643	1	youth	male	20210901
005801FF0001005005D300692D37D643	2	youth	male	20210901
005801FF0001005005D300692D37D643	4	mid	female	20210901
005801FF0001005005D300692D37D67D	1	youth	female	20210901
005801FF0001005005D300692D37D67D	3	youth	female	20210901
005801FF0001005005D300692D37D67E	1	teen	male	20210901
005801FF0001005005D300692D37D67E	3	teen	female	20210901
005801FF0001005005D300692D37D67E	4	teen	male	20210901
005801FF0001005005D300692D37D6B0	1	youth	male	20210901
005801FF0001005005D300692D37D6D4	1	teen	female	20210901
005801FF0001005005D300692D37D6D4	2	teen	female	20210901
005801FF0001005005D300692D37D6F3	1	youth	male	20210901
005801FF0001005005D300692D37D6F3	3	mid	male	20210901
005801FF0001005005D300692D37D6F3	4	youth	male	20210901
005801FF0001005005D300692D37D733	1	youth	male	20210901
005801FF0001005005D300692D37D733	3	youth	female	20210901
005801FF0001005005D300692D37D733	4	youth	female	20210901
005801FF0001005005D300692D37D74E	1	child	male	20210901
005801FF0001005005D300692D37D74F	1	teen	male	20210901
005801FF0001005005D300692D37D74F	4	teen	female	20210901
005801FF0001005005D300692D37D75D	1	old	male	20210901
005801FF0001005005D300692D37D75D	4	youth	female	20210901
005801FF0001005005D300692D37D79E	1	teen	male	20210901
005801FF0001005005D300692D37D79E	3	mid	female	20210901
005801FF0001005005D300692D37D79E	4	youth	female	20210901
005801FF0001005005D300692D37D7AE	1	youth	male	20210901
005801FF0001005005D300692D37D7AE	3	teen	female	20210901
005801FF0001005005D300692D37D7BF	1	child	male	20210901
005801FF0001005005D300692D37D7C5	1	youth	female	20210901
005801FF0001005005D300692D37D7C5	3	mid	female	20210901
005801FF0001005005D300692D37D7C5	4	teen	male	20210901
005801FF0001005005D300692D37D7D5	1	mid	female	20210901
005801FF0001005005D300692D37D7D5	3	old	female	20210901
005801FF0001005005D300692D37D7D5	4	teen	male	20210901
005801FF0001005005D300692D37D7D6	1	teen	female	20210901
005801FF0001005005D300692D37D7D6	2	teen	male	20210901
005801FF0001005005D300692D37D7D6	3	mid	male	20210901
005801FF0001005005D300692D37D7D6	4	teen	female	20210901
005801FF0001005005D300692D37D7E1	1	mid	male	20210901
005801FF0001005005D300692D37D7E1	4	mid	male	20210901
005801FF0001005005D300692D37D81A	1	youth	female	20210901
005801FF0001005005D300692D37D843	1	teen	female	20210901
005801FF0001005005D300692D37D843	2	teen	male	20210901
005801FF0001005005D300692D37D85B	1	youth	male	20210901
005801FF0001005005D300692D37D85B	3	youth	female	20210901
005801FF0001005005D300692D37D85F	1	teen	male	20210901
005801FF0001005005D300692D37D85F	3	teen	female	20210901
005801FF0001005005D300692D37D883	1	teen	male	20210901
005801FF0001005005D300692D37D883	2	teen	female	20210901
005801FF0001005005D300692D37D883	4	teen	male	20210901
005801FF0001005005D300692D37D8A7	1	youth	female	20210901
005801FF0001005005D300692D37D8C3	1	teen	male	20210901
005801FF0001005005D300692D37D8C3	3	teen	male	20210901
005801FF0001005005D300692D37D8C7	1	youth	male	20210901
005801FF0001005005D300692D37D8C7	3	mid	male	20210901
005801FF0001005005D300692D37D8C7	4	youth	female	20210901
005801FF0001005005D300692D37D8D2	1	youth	male	20210901
005801FF0001005005D300692D37D8D2	3	youth	female	20210901
005801FF0001005005D300692D37D8D2	4	youth	male	20210901
005801FF0001005005D300692D37D8FF	1	teen	male	20210901
005801FF0001005005D300692D37D8FF	2	teen	female	20210901
005801FF0001005005D300692D37D8FF	3	teen	male	20210901
005801FF0001005005D300692D37D915	1	teen	female	20210901
005801FF0001005005D300692D37D915	3	teen	female	20210901
005801FF0001005005D300692D37D915	4	teen	male	20210901
005801FF0001005005D300692D37D94C	1	teen	female	20210901
005801FF0001005005D300692D37D94C	4	teen	male	20210901
005801FF0001005005D300692D37D962	1	youth	female	20210901
005801FF0001005005D300692D37D962	4	mid	male	20210901
005801FF0001005005D300692D37D96B	1	mid	male	20210901
005801FF0001005005D300692D37D96B	4	old	female	20210901
005801FF0001005005D300692D37D979	1	teen	female	20210901
005801FF0001005005D300692D37D979	4	youth	male	20210901
005801FF0001005005D300692D37D981	1	mid	female	20210901
005801FF0001005005D300692D37D9C7	4	old	male	20210901
005801FF0001005005D300692D37DA0C	1	youth	female	20210901
005801FF0001005005D300692D37DA0C	3	teen	male	20210901
005801FF0001005005D300692D37DA62	1	youth	male	20210901
005801FF0001005005D300692D37DA62	4	youth	male	20210901
005801FF0001005005D300692D37DA69	1	youth	female	20210901
005801FF0001005005D300692D37DA69	3	youth	female	20210901
005801FF0001005005D300692D37DA69	4	youth	female	20210901
005801FF0001005005D300692D37DA6C	1	youth	male	20210901
