htv_film_order_dm.deviceid	htv_film_order_dm.film_light_not_order	htv_film_order_dm.film_middle_not_order	htv_film_order_dm.film_high_not_order	htv_film_order_dm.date_time
004903000003204019297C52593C36AE	0	1	0	20210901
005101FF00011810111160D21CA9B1E5	1	0	0	20210901
005801FF0001005005D300692D37D26F	1	0	0	20210901
005801FF0001005005D300692D37D300	1	0	0	20210901
005801FF0001005005D300692D37D362	1	0	0	20210901
005801FF0001005005D300692D37D39F	1	0	0	20210901
005801FF0001005005D300692D37D444	1	0	0	20210901
005801FF0001005005D300692D37D4EA	0	1	0	20210901
005801FF0001005005D300692D37D580	0	1	0	20210901
005801FF0001005005D300692D37D67D	1	0	0	20210901
005801FF0001005005D300692D37D75D	1	0	0	20210901
005801FF0001005005D300692D37D79E	0	1	0	20210901
005801FF0001005005D300692D37D7AE	1	0	0	20210901
005801FF0001005005D300692D37D7BF	1	0	0	20210901
005801FF0001005005D300692D37D7C5	0	1	0	20210901
005801FF0001005005D300692D37D7D5	0	0	1	20210901
005801FF0001005005D300692D37D7D6	1	0	0	20210901
005801FF0001005005D300692D37D915	1	0	0	20210901
005801FF0001005005D300692D37D962	1	0	0	20210901
005801FF0001005005D300692D37D96B	1	0	0	20210901
005801FF0001005005D300692D37D979	1	0	0	20210901
005801FF0001005005D300692D37D9C7	0	1	0	20210901
005801FF0001005005D300692D37DA0C	1	0	0	20210901
005801FF0001005005D300692D37DA69	1	0	0	20210901
005801FF0001005005D300692D37DA82	0	1	0	20210901
005801FF0001005005D300692D37DB62	1	0	0	20210901
005801FF0001005005D300692D37DBFB	1	0	0	20210901
005801FF0001005005D300692D37DC95	1	0	0	20210901
005801FF0001005005D300692D37DCEC	1	0	0	20210901
005801FF0001005005D300692D37DD1B	0	1	0	20210901
005801FF0001005005D300692D37DE9C	0	1	0	20210901
005801FF0001005005D300692D37DF32	1	0	0	20210901
005801FF0001005005D300692D37E0AB	1	0	0	20210901
005801FF0001005005D300692D37E24F	1	0	0	20210901
005801FF0001005005D300692D37E2A3	1	0	0	20210901
005801FF0001005005D300692D37E434	1	0	0	20210901
005801FF0001005005D300692D37E478	1	0	0	20210901
005801FF0001005005D300692D37E4DE	1	0	0	20210901
005801FF0001005005D300692D37E5D5	1	0	0	20210901
