htv_tv_order_dm.deviceid	htv_tv_order_dm.tv_light_not_order	htv_tv_order_dm.tv_middle_not_order	htv_tv_order_dm.tv_high_not_order	htv_tv_order_dm.date_time
005101FF00011810111160D21CA9B1E5	1	0	0	20210901
005801FF0001005005D300692D37D294	0	0	1	20210901
005801FF0001005005D300692D37D2AA	0	1	0	20210901
005801FF0001005005D300692D37D362	1	0	0	20210901
005801FF0001005005D300692D37D36E	0	1	0	20210901
005801FF0001005005D300692D37D376	1	0	0	20210901
005801FF0001005005D300692D37D3B0	1	0	0	20210901
005801FF0001005005D300692D37D3D5	1	0	0	20210901
005801FF0001005005D300692D37D437	1	0	0	20210901
005801FF0001005005D300692D37D465	0	1	0	20210901
005801FF0001005005D300692D37D4BE	1	0	0	20210901
005801FF0001005005D300692D37D4DB	0	1	0	20210901
005801FF0001005005D300692D37D4E3	0	1	0	20210901
005801FF0001005005D300692D37D4EA	1	0	0	20210901
005801FF0001005005D300692D37D52C	1	0	0	20210901
005801FF0001005005D300692D37D580	1	0	0	20210901
005801FF0001005005D300692D37D5E3	0	1	0	20210901
005801FF0001005005D300692D37D629	1	0	0	20210901
005801FF0001005005D300692D37D643	0	1	0	20210901
005801FF0001005005D300692D37D6F3	0	0	1	20210901
005801FF0001005005D300692D37D733	0	1	0	20210901
005801FF0001005005D300692D37D7AE	1	0	0	20210901
005801FF0001005005D300692D37D7D6	1	0	0	20210901
005801FF0001005005D300692D37D7E1	1	0	0	20210901
005801FF0001005005D300692D37D8C7	1	0	0	20210901
005801FF0001005005D300692D37DA62	0	1	0	20210901
005801FF0001005005D300692D37DA69	0	1	0	20210901
005801FF0001005005D300692D37DA6C	1	0	0	20210901
005801FF0001005005D300692D37DA6D	0	0	1	20210901
005801FF0001005005D300692D37DA95	0	1	0	20210901
005801FF0001005005D300692D37DAAB	0	1	0	20210901
005801FF0001005005D300692D37DAC3	0	1	0	20210901
005801FF0001005005D300692D37DBE8	1	0	0	20210901
005801FF0001005005D300692D37DC0B	1	0	0	20210901
005801FF0001005005D300692D37DC27	0	0	1	20210901
005801FF0001005005D300692D37DC95	1	0	0	20210901
005801FF0001005005D300692D37DCA8	1	0	0	20210901
005801FF0001005005D300692D37DCBE	1	0	0	20210901
005801FF0001005005D300692D37DD4E	1	0	0	20210901
005801FF0001005005D300692D37DD59	0	1	0	20210901
005801FF0001005005D300692D37DD80	0	0	1	20210901
005801FF0001005005D300692D37DDA6	0	1	0	20210901
005801FF0001005005D300692D37DDDB	0	0	1	20210901
005801FF0001005005D300692D37DE1C	0	1	0	20210901
005801FF0001005005D300692D37DE54	1	0	0	20210901
005801FF0001005005D300692D37DEAC	1	0	0	20210901
005801FF0001005005D300692D37DF18	1	0	0	20210901
005801FF0001005005D300692D37DF31	0	1	0	20210901
005801FF0001005005D300692D37DF32	0	0	1	20210901
005801FF0001005005D300692D37DFCF	1	0	0	20210901
005801FF0001005005D300692D37DFE1	0	0	1	20210901
005801FF0001005005D300692D37E0C5	0	1	0	20210901
005801FF0001005005D300692D37E117	0	0	1	20210901
005801FF0001005005D300692D37E129	0	1	0	20210901
005801FF0001005005D300692D37E152	0	1	0	20210901
005801FF0001005005D300692D37E1DE	0	0	1	20210901
005801FF0001005005D300692D37E1E2	0	0	1	20210901
005801FF0001005005D300692D37E27D	0	1	0	20210901
005801FF0001005005D300692D37E2F9	1	0	0	20210901
