htv_deviceinfo_dm.deviceid	htv_deviceinfo_dm.model	htv_deviceinfo_dm.manufacturer	htv_deviceinfo_dm.cp_name
0005801FF0001005005D300692D37EF5	CM211-2_IPTV_GS	NULL	32
003401FF0001007000BB60D21C6BA88B	CM201-2_IPTV_GS	NULL	3
003401FF0001061001B554C57ADBED5F	CM201-22	NULL	3
003403FF001834600005A8BD3A5DA23B	UNT400B2	广东九联科技股份有限公司	3
003403FF001834600005A8BD3A5DA23E	UNT400B2	广东九联科技股份有限公司	3
003701FF00010610124260D21CD95214	CM211-2_IPTV_GS	NULL	32
003701FF00010610124260D21CD95215	CM201-2_IPTV_GS	NULL	32
003803FF0003F400000150DE19C0000C	MGV2000-W_2	咪咕视讯科技有限公司	3
004001FF001968000001741E90D05FA4	HG680KA_A_2	NULL	3
004001FF001968000001741E90D05FB4	HG680KB_A_2	烽火通信科技股份有限公司	3
004003FF00010060180758B42D73E304	CM201-1-YS2	中国移动通信集团终端有限公司	3
004003FF00010060180758B42D73E305	CM201-1-YS2	中国移动通信集团终端有限公司	3
004101FF0001101001E4000763EAFC87	CM1012	中国移动通信集团终端有限公司	3
004104182091680010000C6ABCFFFF5E	HG680KB_A_IPTV_GS	NULL	32
004201FF310445700005748F1BFE2DD7	MGV2000-UA2		3
0044045CCBCA13101C195CCBCA1D92C8	H10g-13-XW2	NULL	3
004501000001004005D800692D6D0601	CM201-22	NULL	3
004601FF0001061001B154C57A45FEE3	CM201-22	NULL	3
004703000003531000143C0CDB3E86C6	MG100-U2	NULL	eeee
0047030000188750001164E0AB5AD8B7	UNT402A-0U2	NULL	3
004703FF000373100012A8BD3A69FF3F	MG100-U2	咪咕视讯科技有限公司	3
004703FF000373100014A8BD3A69D8DD	MG100-U2	NULL	3
00480300001968001218A4190882197C	HG680KA_A_IPTV_GS	NULL	32
00490300000248800004748F1B21A46F	M301A_UM2		3
004903000003204019297C52593C36AE	MGV2000-J-02	NULL	3
004903FF000248800003748F1BA902E4	M301A_UM_IPTV_GS	NULL	32
004903FF001837800001748F1B4496F5	UNT401H-0U_IPTV_GS	NULL	32
004903FF001837800001748F1B4496F7	UNT401H-0U_IPTV_GS	NULL	32
004903FF001837800001748F1B4496F9	M302A_MQ_IPTV_GS	NULL	32
004903FF001837800001748F1B4496FB	UNT401H-0U2	广东九联科技股份有限公司	3
004903FF001837800001748F1B4496FC	UNT401H-0U2	广东九联科技股份有限公司	3
004903FF001847800001748F1B0D0881	UNT401H-0U2	广东九联科技股份有限公司	3
004903FF001847800001748F1B0D0882	UNT401H-0U2	广东九联科技股份有限公司	3
004903FF001847800001748F1B0D088C	UNT401H-0U2	广东九联科技股份有限公司	3
004903FF001847800001748F1B108D54	UNT401H-0U2	广东九联科技股份有限公司	3
005001FF0001061001AC54C57A235F97	CM201-22	中国移动通信集团终端有限公司	3
005001FF0001061001AC54C57A235F98	CM201-22	中国移动通信集团终端有限公司	3
00500300000351800038748F1BDA58C6	MGV2000-KL_IPTV_GS2	NULL	32
00500300000355500057748F1B0C6B9B	UNT402H_IPTV_GS	NULL	32
00500300000355500058748F1B8897BD	MGV2000-UA_IPTV_GS	NULL	32
00500300000355500058748F1B8897C0	MGV2000-UA_IPTV_GS	NULL	32
00500300000355500058748F1B8897C3	MGV2000-UA_IPTV_GS	NULL	32
00500300000355500058748F1B8897C4	MGV2000-UA_IPTV_GS	NULL	32
00500300000355500058748F1B889849	MGV2000-UA2		3
00500300000355500058748F1B88986D	MGV2000-UA_IPTV_GS	NULL	32
00500300000355500058748F1B88986F	MGV2000-UA_IPTV_GS	NULL	32
00500300000355500058748F1B889875	MGV2000-UA_IPTV_GS	NULL	32
00500300000355500058748F1B88987D	MGV2000-UA_IPTV_GS	NULL	32
00500300000355500058748F1B88987F	MGV2000-UA_IPTV_GS	NULL	32
005101FF00010070111160D21CA9B1CF	CM201-22	中国移动通信集团终端有限公司	3
005101FF00011810111160D21CA9B1E5	CM201-22	NULL	3
005104FF00042020121200692D623178	H10e-12_IPTV_GS	NULL	32
005104FF00042020121200692DB1C371	H10e-12_IPTV_GS	NULL	32
005303FF0002380017030CC655832470	M101_YST_2	中移物联网有限公司	3
005303FF0002380017047868F79467E1	M101_SKYWORTH_2	NULL	3
005403000003431000623C0CDB8C0DE2	MG100-U2	NULL	3
005403FF0034441000010023B8002344	JIUZHOU_PTV-8098-02	四川九州电子科技股份有限公司	3
005503FF0002380017117868F7AA1862	CM201-1-YS2	NULL	3
00550454F6C53030000154F6C58603E8	H10g-13-XW2	NULL	3
005801FF0001005005D300692D37D271	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D274	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D275	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D277	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D279	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D27A	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D27B	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D27C	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D27D	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D27F	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D281	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D282	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D283	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D285	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D286	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D287	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D288	CM211-2_IPTV_GS	NULL	3
005801FF0001005005D300692D37D28A	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D28C	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D28F	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D290	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D294	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D296	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D29B	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D29C	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D29D	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D29E	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D2A1	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D2A4	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D2A6	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D2A7	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D2AA	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D2AD	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D2B2	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D2B3	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D2B4	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D2B6	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D2B8	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D2B9	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D2BB	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D2BD	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D2C3	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D2C4	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D2C6	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D2CA	CM211-2_IPTV_GS	NULL	32
005801FF0001005005D300692D37D2CB	CM211-2_IPTV_GS	NULL	32
